"velocity:0","velocity:1","velocity:2","vtkGhostType","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.7329,2.8609e-05,0,0,1.4914,1,0.1862,5.1,0.3862,0
0.73716,2.8901e-05,0,0,1.4914,1,0.1881,5.1,0.3881,0
0.74142,2.9193e-05,0,0,1.4914,1,0.19,5.1,0.39,0
0.74567,2.9486e-05,0,0,1.4914,1,0.1919,5.1,0.3919,0
0.74993,2.9778e-05,0,0,1.4914,1,0.1938,5.1,0.3938,0
0.75418,3.007e-05,0,0,1.4914,1,0.1957,5.1,0.3957,0
0.75844,3.0363e-05,0,0,1.4914,1,0.1976,5.1,0.3976,0
0.7627,3.0655e-05,0,0,1.4914,1,0.1995,5.1,0.3995,0
0.76653,3.0961e-05,0,0,1.4914,1,0.2014,5.1,0.4014,0
0.77021,3.1272e-05,0,0,1.4914,1,0.2033,5.1,0.4033,0
0.77388,3.1583e-05,0,0,1.4914,1,0.2052,5.1,0.4052,0
0.77756,3.1894e-05,0,0,1.4914,1,0.2071,5.1,0.4071,0
0.78124,3.2204e-05,0,0,1.4914,1,0.209,5.1,0.409,0
0.78492,3.2515e-05,0,0,1.4914,1,0.2109,5.1,0.4109,0
0.78859,3.2826e-05,0,0,1.4914,1,0.2128,5.1,0.4128,0
0.79227,3.3137e-05,0,0,1.4914,1,0.2147,5.1,0.4147,0
0.79595,3.3448e-05,0,0,1.4914,1,0.2166,5.1,0.4166,0
0.79963,3.3759e-05,0,0,1.4914,1,0.2185,5.1,0.4185,0
0.8033,3.407e-05,0,0,1.4914,1,0.2204,5.1,0.4204,0
0.80698,3.4381e-05,0,0,1.4914,1,0.2223,5.1,0.4223,0
0.81066,3.4692e-05,0,0,1.4914,1,0.2242,5.1,0.4242,0
0.81434,3.5003e-05,0,0,1.4914,1,0.2261,5.1,0.4261,0
0.81801,3.5314e-05,0,0,1.4914,1,0.228,5.1,0.428,0
0.82169,3.5625e-05,0,0,1.4914,1,0.2299,5.1,0.4299,0
